name,stargazerCount,owner,createdAt,updatedAt,language,openPullRequests,mergedPullRequests,releases,openIssues,closedIssues
freeCodeCamp,410252,freeCodeCamp,2014-12-24T17:49:19Z,2025-02-20T22:38:48Z,JavaScript,66,24364,0,168,18755
free-programming-books,350793,EbookFoundation,2013-10-11T06:50:37Z,2025-02-20T22:37:19Z,HTML,55,6787,0,29,1131
awesome,347933,sindresorhus,2014-07-11T13:42:37Z,2025-02-20T22:38:05Z,Unknown,40,661,0,12,335
build-your-own-x,337556,codecrafters-io,2018-05-09T12:03:18Z,2025-02-20T22:42:07Z,Markdown,162,140,0,190,538
public-apis,328011,public-apis,2016-03-20T23:49:42Z,2025-02-20T22:41:30Z,Shell,406,1872,0,48,603
coding-interview-university,312128,jwasham,2016-06-06T02:34:12Z,2025-02-20T22:11:52Z,Unknown,8,415,0,52,458
developer-roadmap,308766,kamranahmedse,2017-03-15T13:45:52Z,2025-02-20T22:12:42Z,TypeScript,7,3338,1,135,2528
system-design-primer,289729,donnemartin,2017-02-26T16:15:28Z,2025-02-20T22:43:21Z,Python,246,199,0,232,87
996.ICU,270281,996icu,2019-03-26T07:31:14Z,2025-02-20T20:49:32Z,Unknown,4,1068,0,0,0
awesome-python,234654,vinta,2014-06-27T21:00:06Z,2025-02-20T22:33:19Z,Python,428,543,0,0,0
react,232463,facebook,2013-05-24T16:15:54Z,2025-02-20T21:38:33Z,JavaScript,184,11359,103,776,12747
project-based-learning,218296,practical-tutorials,2017-04-12T05:07:46Z,2025-02-20T22:43:20Z,Unknown,91,182,0,112,78
awesome-selfhosted,217355,awesome-selfhosted,2015-06-01T02:33:17Z,2025-02-20T22:42:03Z,Unknown,0,2393,1,0,803
vue,208394,vuejs,2013-07-29T03:24:51Z,2025-02-20T21:45:58Z,JavaScript,247,1136,249,354,9664
Python,197472,TheAlgorithms,2016-07-16T09:44:01Z,2025-02-20T22:35:12Z,Python,289,2912,0,64,1492
javascript-algorithms,190170,trekhleb,2018-03-24T07:47:04Z,2025-02-20T22:00:41Z,JavaScript,228,302,0,129,227
tensorflow,188126,tensorflow,2015-11-07T01:19:20Z,2025-02-20T22:39:36Z,Python,6313,29190,213,812,39437
linux,188102,torvalds,2011-09-04T22:48:12Z,2025-02-20T22:17:12Z,Makefile,444,10,0,0,0
You-Dont-Know-JS,181067,getify,2013-11-16T02:37:24Z,2025-02-20T21:56:18Z,Unknown,45,367,0,81,855
CS-Notes,178945,CyC2018,2018-02-13T14:56:24Z,2025-02-20T16:48:28Z,Unknown,65,374,0,148,448
ohmyzsh,176205,ohmyzsh,2009-08-28T18:15:37Z,2025-02-20T22:08:53Z,Shell,339,3289,0,132,4760
computer-science,175497,ossu,2014-05-04T00:18:39Z,2025-02-20T22:43:16Z,Unknown,2,281,0,14,628
AutoGPT,171698,Significant-Gravitas,2023-03-16T09:21:07Z,2025-02-20T22:38:08Z,Python,37,2585,42,168,2973
bootstrap,171440,twbs,2011-07-29T21:19:00Z,2025-02-20T21:43:14Z,JavaScript,179,8844,89,499,22118
flutter,168750,flutter,2015-03-06T22:54:58Z,2025-02-20T21:38:49Z,Dart,226,40894,7,13170,90317
vscode,167573,microsoft,2015-09-03T20:23:38Z,2025-02-20T22:40:03Z,JavaScript,500,31270,156,8647,181997
gitignore,164511,github,2010-11-08T20:17:14Z,2025-02-20T22:35:38Z,Unknown,490,1574,0,0,0
Python-100-Days,161024,jackfrued,2018-03-01T16:05:52Z,2025-02-20T18:02:27Z,Python,153,13,0,546,114
the-book-of-secret-knowledge,158614,trimstray,2018-06-23T10:43:14Z,2025-02-20T22:42:26Z,Unknown,81,122,0,0,0
the-art-of-command-line,154771,jlevy,2015-05-20T15:11:03Z,2025-02-20T22:30:27Z,Unknown,129,317,0,118,136
JavaGuide,148205,Snailclimb,2018-05-07T13:27:00Z,2025-02-20T16:33:49Z,Java,0,1135,0,64,1008
stable-diffusion-webui,148102,AUTOMATIC1111,2022-08-22T14:05:26Z,2025-02-20T22:28:55Z,Python,58,1871,27,2300,5446
javascript,146148,airbnb,2012-11-01T23:13:50Z,2025-02-20T22:03:35Z,JavaScript,72,811,0,95,1252
transformers,139824,huggingface,2018-10-29T13:56:00Z,2025-02-20T22:05:40Z,Python,541,14611,179,989,15695
awesome-go,138470,avelino,2014-07-06T13:42:15Z,2025-02-20T22:38:10Z,Go,108,3395,0,5,665
youtube-dl,134296,ytdl-org,2010-10-31T14:35:07Z,2025-02-20T22:29:04Z,Makefile,498,1639,341,3690,22998
next.js,129531,vercel,2016-10-05T23:32:51Z,2025-02-20T22:29:27Z,JavaScript,663,20886,1000,2696,19702
ollama,128075,ollama,2023-06-26T19:39:32Z,2025-02-20T22:29:09Z,TypeScript,204,2001,115,1353,4690
fucking-algorithm,126878,labuladong,2020-02-19T09:01:23Z,2025-02-20T19:28:57Z,Markdown,40,238,1,4,877
go,125969,golang,2014-08-19T04:33:40Z,2025-02-20T22:41:02Z,Shell,338,1,0,9156,56383
30-seconds-of-code,122714,Chalarangelo,2017-11-29T17:35:03Z,2025-02-20T22:01:40Z,JavaScript,0,821,11,0,296
tech-interview-handbook,121957,yangshun,2016-07-05T05:00:48Z,2025-02-20T22:26:49Z,HTML,12,466,0,37,70
awesome-chatgpt-prompts,120668,f,2022-12-05T13:54:13Z,2025-02-20T22:29:26Z,HTML,262,158,0,0,0
react-native,120659,facebook,2015-01-09T18:10:16Z,2025-02-20T22:26:39Z,Objective-C,313,886,375,597,26057
Microsoft-Activation-Scripts,119968,massgravel,2020-01-12T23:03:34Z,2025-02-20T22:37:58Z,Batchfile,0,6,19,1,570
scrcpy,117860,Genymobile,2017-11-21T18:00:27Z,2025-02-20T21:59:40Z,Meson,54,109,44,2206,3016
electron,115538,electron,2013-04-12T01:47:36Z,2025-02-20T22:05:53Z,C++,107,21533,1000,863,19682
PowerToys,114955,microsoft,2019-05-01T17:44:02Z,2025-02-20T22:24:55Z,Batchfile,64,5078,109,5806,25742
kubernetes,113217,kubernetes,2014-06-06T22:56:04Z,2025-02-20T21:46:42Z,Python,695,60718,722,1883,44787
free-programming-books-zh_CN,112673,justjavac,2013-11-04T01:59:19Z,2025-02-20T18:37:50Z,Unknown,30,282,3,0,0
d3,109847,d3,2010-09-27T17:22:42Z,2025-02-20T21:00:44Z,JavaScript,12,491,194,9,2215
node,109746,nodejs,2014-11-26T19:57:11Z,2025-02-20T22:11:59Z,JavaScript,514,9754,429,1627,17159
hello-algo,109173,krahets,2022-11-04T11:08:34Z,2025-02-20T20:24:02Z,Java,19,900,9,18,235
axios,106354,axios,2014-08-18T22:30:27Z,2025-02-20T17:22:59Z,JavaScript,102,935,87,561,4196
three.js,104421,mrdoob,2010-03-23T18:58:01Z,2025-02-20T21:53:41Z,JavaScript,128,13701,165,421,12421
create-react-app,103104,facebook,2016-07-17T14:55:11Z,2025-02-20T22:28:00Z,JavaScript,485,1949,83,1813,6558
TypeScript,102279,microsoft,2014-06-17T15:28:39Z,2025-02-20T22:02:09Z,JavaScript,533,14544,206,5520,36182
nodebestpractices,101828,goldbergyoni,2017-09-15T08:33:19Z,2025-02-20T22:26:10Z,Dockerfile,37,765,0,41,284
deno,101820,denoland,2018-05-15T01:34:26Z,2025-02-20T22:39:57Z,TypeScript,135,12363,311,2039,10052
rust,101391,rust-lang,2010-06-16T20:39:03Z,2025-02-20T22:25:34Z,Makefile,708,61287,135,9982,46650
yt-dlp,101065,yt-dlp,2020-10-26T04:22:55Z,2025-02-20T22:06:01Z,Makefile,312,2516,104,1500,7199
langchain,101051,langchain-ai,2022-10-17T02:58:36Z,2025-02-20T21:05:17Z,Python,57,13200,806,344,7864
HelloGitHub,98686,521xueweihan,2016-05-04T06:24:11Z,2025-02-20T21:54:50Z,Python,2,17,51,192,2559
terminal,97094,microsoft,2017-08-11T18:38:22Z,2025-02-20T21:30:55Z,C#,52,4025,128,1597,11507
angular,96988,angular,2014-09-18T16:12:01Z,2025-02-20T22:22:08Z,JavaScript,246,3698,407,1515,27240
material-ui,94823,mui,2014-08-18T19:11:54Z,2025-02-20T21:52:39Z,JavaScript,161,19889,521,1674,18153
godot,94130,godotengine,2014-01-04T16:05:36Z,2025-02-20T21:31:08Z,C++,3334,36267,58,11337,43759
ant-design,93754,ant-design,2015-04-24T15:37:24Z,2025-02-20T22:38:40Z,HTML,68,14987,690,1206,29705
excalidraw,92757,excalidraw,2020-01-02T01:04:43Z,2025-02-20T22:30:59Z,HTML,384,3558,13,1663,2195
clean-code-javascript,92491,ryanmcdermott,2016-11-25T22:25:41Z,2025-02-20T22:26:13Z,JavaScript,36,149,0,71,163
free-for-dev,92363,ripienaar,2015-03-18T21:06:26Z,2025-02-20T21:41:45Z,HTML,1,2646,0,0,0
papers-we-love,90978,papers-we-love,2013-12-15T14:31:41Z,2025-02-20T21:54:53Z,Shell,1,434,0,0,243
java-design-patterns,90783,iluwatar,2014-08-09T16:45:18Z,2025-02-20T20:25:43Z,Java,29,1456,0,126,816
frp,90648,fatedier,2015-12-21T15:24:59Z,2025-02-20T22:14:33Z,Makefile,2,654,101,56,3645
iptv,90366,iptv-org,2018-11-14T22:00:57Z,2025-02-20T22:38:41Z,JavaScript,5,6491,0,97,9767
thefuck,90126,nvbn,2015-04-08T15:08:04Z,2025-02-20T22:28:16Z,Python,97,481,17,274,471
puppeteer,89776,puppeteer,2017-05-09T22:16:13Z,2025-02-20T21:36:21Z,JavaScript,15,5143,494,255,6818
tauri,89635,tauri-apps,2019-07-13T09:09:37Z,2025-02-20T22:40:53Z,Rust,57,4800,1000,948,4251
Awesome-Hacking,89099,Hack-with-Github,2016-03-30T15:47:10Z,2025-02-20T22:31:57Z,Unknown,2,34,0,0,0
vue-element-admin,88720,PanJiaChen,2017-04-17T03:35:49Z,2025-02-20T20:57:22Z,JavaScript,113,311,49,1240,2357
pytorch,87057,pytorch,2016-08-13T05:26:41Z,2025-02-20T22:15:44Z,CMake,1116,6000,58,14526,34457
DeepSeek-V3,86790,deepseek-ai,2024-12-26T09:52:40Z,2025-02-20T22:39:27Z,Python,24,17,0,103,292
neovim,86346,neovim,2014-01-31T13:39:22Z,2025-02-20T22:04:34Z,Shell,310,14603,41,1553,10769
every-programmer-should-know,86218,mtdvio,2017-08-24T13:18:26Z,2025-02-20T20:35:14Z,Unknown,25,99,0,29,22
storybook,85889,storybookjs,2016-03-18T04:23:44Z,2025-02-20T22:39:22Z,JavaScript,139,10745,1000,2039,11119
tailwindcss,85804,tailwindlabs,2017-10-06T14:59:14Z,2025-02-20T21:56:39Z,JavaScript,23,2739,267,80,3882
Web-Dev-For-Beginners,85095,microsoft,2020-11-10T02:44:00Z,2025-02-20T22:16:32Z,JavaScript,65,497,0,55,240
rustdesk,82453,rustdesk,2020-09-28T15:36:08Z,2025-02-20T21:33:43Z,Rust,7,3328,27,49,3247
django,82399,django,2012-04-28T02:47:18Z,2025-02-20T22:01:48Z,Python,294,9535,0,0,0
nvm,82354,nvm-sh,2010-04-15T17:47:47Z,2025-02-20T22:14:52Z,Makefile,38,725,68,300,1954
app-ideas,82222,florinpop17,2019-02-25T18:36:56Z,2025-02-20T22:42:10Z,Unknown,356,149,0,126,43
bitcoin,82093,bitcoin,2010-12-19T15:16:43Z,2025-02-20T22:43:53Z,Shell,273,14923,54,387,8016
svelte,81466,sveltejs,2016-11-20T18:13:05Z,2025-02-20T21:48:03Z,JavaScript,53,5470,393,766,7197
animate.css,81331,animate-css,2011-10-12T10:07:38Z,2025-02-20T21:47:00Z,CSS,21,315,22,32,841
ui,81281,shadcn-ui,2023-01-04T12:43:27Z,2025-02-20T22:35:21Z,Shell,879,474,37,781,2006
realworld,81218,gothinkster,2016-02-26T20:49:53Z,2025-02-20T22:14:10Z,Shell,24,433,0,44,495
fastapi,81141,fastapi,2018-12-08T08:21:47Z,2025-02-20T22:01:08Z,Python,260,2554,200,52,3411
NextChat,81061,ChatGPTNextWeb,2023-03-10T18:27:54Z,2025-02-20T18:48:31Z,TypeScript,81,869,76,562,2820
opencv,80670,opencv,2012-07-19T09:40:17Z,2025-02-20T22:20:00Z,CMake,145,12721,65,2564,8436
gin,80397,gin-gonic,2014-06-16T23:57:25Z,2025-02-20T22:14:33Z,Go,202,1046,26,641,1647
awesome-mac,79767,jaywcjlove,2016-07-17T15:33:47Z,2025-02-20T22:42:00Z,JavaScript,39,946,10,110,342
laravel,79677,laravel,2011-06-08T03:06:08Z,2025-02-20T22:01:02Z,PHP,0,1607,182,0,0
mall,79138,macrozheng,2018-04-04T01:11:44Z,2025-02-20T16:13:47Z,Java,3,1,3,17,481
DeepSeek-R1,78964,deepseek-ai,2025-01-20T11:57:28Z,2025-02-20T22:07:39Z,Unknown,38,7,0,232,155
FiraCode,78192,tonsky,2014-11-11T19:32:38Z,2025-02-20T21:14:24Z,Clojure,5,136,29,400,943
hugo,78159,gohugoio,2013-07-04T15:26:26Z,2025-02-20T21:46:54Z,Go,33,2781,315,446,7137
supabase,77732,supabase,2019-10-12T05:56:49Z,2025-02-20T22:08:33Z,JavaScript,323,11154,19,320,3852
models,77391,tensorflow,2016-02-05T01:15:20Z,2025-02-20T14:27:42Z,Python,180,2337,48,1065,6229
advanced-java,77045,doocs,2018-10-06T11:38:30Z,2025-02-20T21:51:10Z,Java,0,86,1,5,142
open-webui,76970,open-webui,2023-10-06T22:08:27Z,2025-02-20T22:44:11Z,JavaScript,22,1705,92,147,3864
whisper,76655,openai,2022-09-16T20:02:54Z,2025-02-20T22:36:23Z,Python,94,110,12,0,0
core,76650,home-assistant,2013-09-17T07:29:48Z,2025-02-20T22:29:10Z,Python,508,69734,1000,2901,54442
bun,76327,oven-sh,2021-04-14T00:48:17Z,2025-02-20T22:31:43Z,Zig,395,4687,178,3977,6677
spring-boot,76212,spring-projects,2012-10-19T15:02:57Z,2025-02-20T19:17:32Z,Java,22,42,300,533,36576
mermaid,75927,mermaid-js,2014-11-01T23:52:32Z,2025-02-20T22:42:33Z,JavaScript,120,2260,142,1124,2007
LeetCodeAnimation,75706,MisterBooo,2018-12-06T08:01:22Z,2025-02-20T22:16:09Z,Java,2,63,0,19,42
v2rayN,75294,2dust,2019-07-30T03:47:24Z,2025-02-20T17:02:31Z,C#,0,196,233,15,5340
manim,75129,3b1b,2015-03-22T18:50:58Z,2025-02-20T21:42:45Z,Python,12,624,13,437,751
llama.cpp,74849,ggml-org,2023-03-10T18:58:00Z,2025-02-20T21:39:32Z,Makefile,380,4094,1000,347,4186
Font-Awesome,74673,FortAwesome,2012-02-17T14:19:43Z,2025-02-20T22:31:13Z,CSS,24,209,59,4096,15480
json-server,73666,typicode,2013-11-27T13:21:13Z,2025-02-20T22:06:28Z,HTML,94,121,38,615,546
netdata,73546,netdata,2013-06-17T18:39:10Z,2025-02-20T22:28:41Z,Shell,56,9978,107,146,7873
awesome-interview-questions,73282,DopplerHQ,2015-11-28T09:48:17Z,2025-02-20T21:55:07Z,Unknown,23,176,0,27,35
awesome-vue,72584,vuejs,2015-10-20T00:16:14Z,2025-02-20T22:16:37Z,Unknown,15,3544,0,34,189
gpt4all,72545,nomic-ai,2023-03-27T18:49:32Z,2025-02-20T18:16:57Z,Python,28,931,37,646,1475
awesome-for-beginners,71767,MunGell,2015-10-24T19:53:36Z,2025-02-20T22:42:10Z,Unknown,4,431,0,5,166
elasticsearch,71680,elastic,2010-02-08T13:20:56Z,2025-02-20T22:06:35Z,Shell,837,73482,171,3990,34326
github-readme-stats,71549,anuraghazra,2020-07-09T10:34:22Z,2025-02-20T22:32:11Z,JavaScript,202,1219,0,176,1095
ML-For-Beginners,71163,microsoft,2021-03-03T01:34:05Z,2025-02-20T22:16:44Z,Jupyter Notebook,1,371,0,3,136
generative-ai-for-beginners,71103,microsoft,2023-06-19T16:28:59Z,2025-02-20T22:15:31Z,JavaScript,3,315,0,4,135
