name,stargazerCount,owner,createdAt,updatedAt,releases,url
JavaGuide,148712,Snailclimb,2018-05-07T13:27:00Z,2025-03-17T00:58:45Z,0,https://github.com/Snailclimb/JavaGuide
hello-algo,110276,krahets,2022-11-04T11:08:34Z,2025-03-17T01:57:59Z,9,https://github.com/krahets/hello-algo
java-design-patterns,90999,iluwatar,2014-08-09T16:45:18Z,2025-03-17T00:50:30Z,0,https://github.com/iluwatar/java-design-patterns
mall,79491,macrozheng,2018-04-04T01:11:44Z,2025-03-17T01:09:37Z,3,https://github.com/macrozheng/mall
advanced-java,77238,doocs,2018-10-06T11:38:30Z,2025-03-16T19:03:48Z,1,https://github.com/doocs/advanced-java
spring-boot,76456,spring-projects,2012-10-19T15:02:57Z,2025-03-17T01:22:16Z,300,https://github.com/spring-projects/spring-boot
LeetCodeAnimation,75769,MisterBooo,2018-12-06T08:01:22Z,2025-03-16T23:15:49Z,0,https://github.com/MisterBooo/LeetCodeAnimation
elasticsearch,71997,elastic,2010-02-08T13:20:56Z,2025-03-17T00:19:58Z,174,https://github.com/elastic/elasticsearch
interviews,64016,kdn251,2017-02-14T18:19:25Z,2025-03-17T01:20:54Z,0,https://github.com/kdn251/interviews
Java,61093,TheAlgorithms,2016-07-16T10:21:02Z,2025-03-16T19:40:15Z,0,https://github.com/TheAlgorithms/Java
spring-framework,57555,spring-projects,2010-12-08T04:04:45Z,2025-03-17T00:54:41Z,327,https://github.com/spring-projects/spring-framework
ghidra,55376,NationalSecurityAgency,2019-03-01T03:27:48Z,2025-03-17T00:28:28Z,42,https://github.com/NationalSecurityAgency/ghidra
Stirling-PDF,54185,Stirling-Tools,2023-01-27T18:22:42Z,2025-03-17T01:45:40Z,118,https://github.com/Stirling-Tools/Stirling-PDF
guava,50585,google,2014-05-29T16:23:17Z,2025-03-17T01:58:32Z,48,https://github.com/google/guava
RxJava,48042,ReactiveX,2013-01-08T20:11:48Z,2025-03-16T19:53:18Z,235,https://github.com/ReactiveX/RxJava
jadx,43187,skylot,2013-03-18T17:08:21Z,2025-03-17T01:57:16Z,30,https://github.com/skylot/jadx
dbeaver,42262,dbeaver,2015-10-21T08:26:28Z,2025-03-17T01:50:20Z,219,https://github.com/dbeaver/dbeaver
JeecgBoot,41866,jeecgboot,2018-11-26T10:40:00Z,2025-03-17T01:55:02Z,54,https://github.com/jeecgboot/JeecgBoot
dubbo,40818,apache,2012-06-19T07:56:02Z,2025-03-17T01:56:42Z,109,https://github.com/apache/dubbo
termux-app,39774,termux,2015-10-23T09:42:46Z,2025-03-17T01:30:08Z,91,https://github.com/termux/termux-app
MPAndroidChart,37862,PhilJay,2014-04-25T14:29:47Z,2025-03-16T19:50:41Z,44,https://github.com/PhilJay/MPAndroidChart
tutorials,37082,eugenp,2013-04-29T18:26:36Z,2025-03-16T19:00:41Z,0,https://github.com/eugenp/tutorials
arthas,36056,alibaba,2018-08-29T17:15:57Z,2025-03-16T05:43:01Z,59,https://github.com/alibaba/arthas
