repository_name,stargazer_count,created_at,updated_at,release_count,cbo_average,dit_average,lcom_average,cbo_median,dit_median,lcom_median,loc_average,loc_median
--,4530,2020-06-18T22:47:21Z,2025-03-19T08:46:48Z,0,3.5296902742158216,2.899388439534425,440.4263168277767,2,2,0,66.69461432235155,10
1brc,6836,2023-12-28T09:13:24Z,2025-03-23T15:58:04Z,0,3.1666666666666665,1.09,7.58,3.0,1.0,1.0,89.05166666666666,43.0
99-problems,3301,2015-11-22T05:56:33Z,2025-03-19T18:35:27Z,0,1.699248120300752,1.0,1.6842105263157894,2,1,0,15.466165413533835,12
APIJSON,17580,2016-11-21T12:03:29Z,2025-03-23T17:07:46Z,107,5.582089552238806,1.2686567164179106,1181.402985074627,2,1,5,198.3134328358209,14
ARouter,14473,2016-12-14T01:27:49Z,2025-03-21T13:58:13Z,16,3.693877551020408,1.4081632653061225,17.448979591836736,2.0,1.0,0.0,32.285714285714285,10.0
ASimpleCache,3684,2013-07-28T13:50:59Z,2025-03-12T07:56:01Z,0,4.448275862068965,1.4482758620689655,38.51724137931034,2,1,0,68.72413793103448,30
AVLoadingIndicatorView,9754,2015-10-24T20:18:33Z,2025-03-23T08:52:37Z,1,3.5652173913043477,1.7826086956521738,6.75,2.0,1.0,0.0,23.48913043478261,6.0
ActionBarSherlock,7085,2011-03-07T17:28:54Z,2025-03-07T12:26:58Z,32,6.126463700234192,1.9718969555035128,63.39812646370024,4,1,0,61.97423887587822,18
ActiveAndroid,4690,2012-11-15T18:10:45Z,2025-03-20T21:04:03Z,0,3.903225806451613,1.935483870967742,22.080645161290324,3.0,2.0,3.0,50.935483870967744,22.0
Aegis,9980,2016-08-15T19:10:31Z,2025-03-23T16:58:45Z,69,7.447661469933185,1.7082405345211582,22.5456570155902,5,1,1,52.797327394209354,21
AgentWeb,9303,2017-05-12T07:45:56Z,2025-03-22T03:57:44Z,21,5.423529411764706,1.4901960784313726,18.83529411764706,3,1,0,43.96470588235294,12
