name,stargazerCount,owner.login,pullRequests.totalCount,url
freeCodeCamp,416300,freeCodeCamp,39631,https://github.com/freeCodeCamp/freeCodeCamp
build-your-own-x,370523,codecrafters-io,280,https://github.com/codecrafters-io/build-your-own-x
awesome,355767,sindresorhus,2073,https://github.com/sindresorhus/awesome
free-programming-books,354794,EbookFoundation,10412,https://github.com/EbookFoundation/free-programming-books
public-apis,335494,public-apis,2963,https://github.com/public-apis/public-apis
coding-interview-university,314247,jwasham,1006,https://github.com/jwasham/coding-interview-university
developer-roadmap,313612,kamranahmedse,5016,https://github.com/kamranahmedse/developer-roadmap
system-design-primer,296145,donnemartin,329,https://github.com/donnemartin/system-design-primer
996.ICU,270519,996icu,1983,https://github.com/996icu/996.ICU
awesome-python,240224,vinta,1547,https://github.com/vinta/awesome-python
react,234477,facebook,16971,https://github.com/facebook/react
awesome-selfhosted,224372,awesome-selfhosted,3036,https://github.com/awesome-selfhosted/awesome-selfhosted
project-based-learning,224073,practical-tutorials,355,https://github.com/practical-tutorials/project-based-learning
vue,208689,vuejs,2321,https://github.com/vuejs/vue
Python,199357,TheAlgorithms,10198,https://github.com/TheAlgorithms/Python
linux,191506,torvalds,639,https://github.com/torvalds/linux
javascript-algorithms,190916,trekhleb,545,https://github.com/trekhleb/javascript-algorithms
tensorflow,189348,tensorflow,41415,https://github.com/tensorflow/tensorflow
You-Dont-Know-JS,181730,getify,847,https://github.com/getify/You-Dont-Know-JS
CS-Notes,179733,CyC2018,554,https://github.com/CyC2018/CS-Notes
computer-science,178026,ossu,468,https://github.com/ossu/computer-science
ohmyzsh,177585,ohmyzsh,7221,https://github.com/ohmyzsh/ohmyzsh
AutoGPT,174375,Significant-Gravitas,5317,https://github.com/Significant-Gravitas/AutoGPT
bootstrap,172156,twbs,15387,https://github.com/twbs/bootstrap
vscode,169959,microsoft,38119,https://github.com/microsoft/vscode
flutter,169718,flutter,60209,https://github.com/flutter/flutter
gitignore,165676,github,4023,https://github.com/github/gitignore
Python-100-Days,163939,jackfrued,200,https://github.com/jackfrued/Python-100-Days
the-book-of-secret-knowledge,163002,trimstray,218,https://github.com/trimstray/the-book-of-secret-knowledge
the-art-of-command-line,155530,jlevy,466,https://github.com/jlevy/the-art-of-command-line
stable-diffusion-webui,151032,AUTOMATIC1111,3178,https://github.com/AUTOMATIC1111/stable-diffusion-webui
JavaGuide,149157,Snailclimb,1464,https://github.com/Snailclimb/JavaGuide
javascript,146521,airbnb,1569,https://github.com/airbnb/javascript
transformers,142851,huggingface,19199,https://github.com/huggingface/transformers
awesome-go,141697,avelino,4702,https://github.com/avelino/awesome-go
ollama,137045,ollama,3031,https://github.com/ollama/ollama
youtube-dl,135080,ytdl-org,4469,https://github.com/ytdl-org/youtube-dl
next.js,131005,vercel,27602,https://github.com/vercel/next.js
Microsoft-Activation-Scripts,130621,massgravel,42,https://github.com/massgravel/Microsoft-Activation-Scripts
fucking-algorithm,127563,labuladong,464,https://github.com/labuladong/fucking-algorithm
go,127127,golang,4133,https://github.com/golang/go
tech-interview-handbook,125210,yangshun,541,https://github.com/yangshun/tech-interview-handbook
30-seconds-of-code,123362,Chalarangelo,1621,https://github.com/Chalarangelo/30-seconds-of-code
awesome-chatgpt-prompts,122889,f,411,https://github.com/f/awesome-chatgpt-prompts
react-native,121498,facebook,21556,https://github.com/facebook/react-native
scrcpy,120462,Genymobile,481,https://github.com/Genymobile/scrcpy
PowerToys,117306,microsoft,5891,https://github.com/microsoft/PowerToys
electron,116330,electron,24944,https://github.com/electron/electron
kubernetes,114355,kubernetes,83094,https://github.com/kubernetes/kubernetes
free-programming-books-zh_CN,113327,justjavac,438,https://github.com/justjavac/free-programming-books-zh_CN
hello-algo,111497,krahets,1143,https://github.com/krahets/hello-algo
node,110591,nodejs,36023,https://github.com/nodejs/node
d3,110354,d3,1182,https://github.com/d3/d3
yt-dlp,107443,yt-dlp,3259,https://github.com/yt-dlp/yt-dlp
axios,106671,axios,1698,https://github.com/axios/axios
three.js,105657,mrdoob,17621,https://github.com/mrdoob/three.js
langchain,105488,langchain-ai,17377,https://github.com/langchain-ai/langchain
TypeScript,103981,microsoft,18011,https://github.com/microsoft/TypeScript
create-react-app,103137,facebook,3826,https://github.com/facebook/create-react-app
rust,102648,rust-lang,81137,https://github.com/rust-lang/rust
deno,102572,denoland,15013,https://github.com/denoland/deno
nodebestpractices,102326,goldbergyoni,926,https://github.com/goldbergyoni/nodebestpractices
HelloGitHub,101226,521xueweihan,45,https://github.com/521xueweihan/HelloGitHub
terminal,97687,microsoft,4575,https://github.com/microsoft/terminal
angular,97472,angular,29946,https://github.com/angular/angular
excalidraw,97267,excalidraw,4552,https://github.com/excalidraw/excalidraw
godot,96098,godotengine,44479,https://github.com/godotengine/godot
DeepSeek-V3,95472,deepseek-ai,118,https://github.com/deepseek-ai/DeepSeek-V3
material-ui,95326,mui,24461,https://github.com/mui/material-ui
free-for-dev,94564,ripienaar,3525,https://github.com/ripienaar/free-for-dev
ant-design,94233,ant-design,19345,https://github.com/ant-design/ant-design
clean-code-javascript,92763,ryanmcdermott,254,https://github.com/ryanmcdermott/clean-code-javascript
frp,92556,fatedier,946,https://github.com/fatedier/frp
iptv,92347,iptv-org,7335,https://github.com/iptv-org/iptv
papers-we-love,92308,papers-we-love,521,https://github.com/papers-we-love/papers-we-love
thefuck,91411,nvbn,611,https://github.com/nvbn/thefuck
tauri,91396,tauri-apps,5580,https://github.com/tauri-apps/tauri
dify,91321,langgenius,6457,https://github.com/langgenius/dify
java-design-patterns,91280,iluwatar,2247,https://github.com/iluwatar/java-design-patterns
Awesome-Hacking,91223,Hack-with-Github,109,https://github.com/Hack-with-Github/Awesome-Hacking
puppeteer,90348,puppeteer,6478,https://github.com/puppeteer/puppeteer
vue-element-admin,89099,PanJiaChen,479,https://github.com/PanJiaChen/vue-element-admin
