api,complexity,execution,time_ms,size_bytes,timestamp
REST,simple,1,2.91,62,2025-06-08T12:07:30.680073
REST,simple,2,1.95,62,2025-06-08T12:07:30.682044
REST,simple,3,1.31,62,2025-06-08T12:07:30.683366
REST,simple,4,1.36,62,2025-06-08T12:07:30.684734
REST,simple,5,1.39,62,2025-06-08T12:07:30.686130
REST,simple,6,1.39,62,2025-06-08T12:07:30.687525
REST,simple,7,1.38,62,2025-06-08T12:07:30.688910
REST,simple,8,1.45,62,2025-06-08T12:07:30.690364
REST,simple,9,1.43,62,2025-06-08T12:07:30.691807
REST,simple,10,1.53,62,2025-06-08T12:07:30.693354
REST,simple,11,1.35,62,2025-06-08T12:07:30.694718
REST,simple,12,1.44,62,2025-06-08T12:07:30.696164
REST,simple,13,1.24,62,2025-06-08T12:07:30.697414
REST,simple,14,1.42,62,2025-06-08T12:07:30.698842
REST,simple,15,1.33,62,2025-06-08T12:07:30.700177
REST,simple,16,1.21,62,2025-06-08T12:07:30.701394
REST,simple,17,1.29,62,2025-06-08T12:07:30.702695
REST,simple,18,1.3,62,2025-06-08T12:07:30.704004
REST,simple,19,1.17,62,2025-06-08T12:07:30.705186
REST,simple,20,1.31,62,2025-06-08T12:07:30.706500
REST,simple,21,1.28,62,2025-06-08T12:07:30.707788
REST,simple,22,1.26,62,2025-06-08T12:07:30.709054
REST,simple,23,1.31,62,2025-06-08T12:07:30.710371
REST,simple,24,1.33,62,2025-06-08T12:07:30.711711
REST,simple,25,1.34,62,2025-06-08T12:07:30.713058
REST,simple,26,1.38,62,2025-06-08T12:07:30.714448
REST,simple,27,1.31,62,2025-06-08T12:07:30.715765
REST,simple,28,1.28,62,2025-06-08T12:07:30.717052
REST,simple,29,1.39,62,2025-06-08T12:07:30.718455
REST,simple,30,1.31,62,2025-06-08T12:07:30.719777
REST,medium,1,1.29,149,2025-06-08T12:07:30.721078
REST,medium,2,1.19,149,2025-06-08T12:07:30.722281
REST,medium,3,1.2,149,2025-06-08T12:07:30.723487
REST,medium,4,1.38,149,2025-06-08T12:07:30.724874
REST,medium,5,1.19,149,2025-06-08T12:07:30.726077
REST,medium,6,1.29,149,2025-06-08T12:07:30.727376
REST,medium,7,1.31,149,2025-06-08T12:07:30.728694
REST,medium,8,1.31,149,2025-06-08T12:07:30.730013
REST,medium,9,1.37,149,2025-06-08T12:07:30.731390
REST,medium,10,1.19,149,2025-06-08T12:07:30.732586
REST,medium,11,1.16,149,2025-06-08T12:07:30.733759
REST,medium,12,1.21,149,2025-06-08T12:07:30.734979
REST,medium,13,1.23,149,2025-06-08T12:07:30.736214
REST,medium,14,1.23,149,2025-06-08T12:07:30.737452
REST,medium,15,1.49,149,2025-06-08T12:07:30.738955
REST,medium,16,1.21,149,2025-06-08T12:07:30.740171
REST,medium,17,1.17,149,2025-06-08T12:07:30.741346
REST,medium,18,1.19,149,2025-06-08T12:07:30.742550
REST,medium,19,1.54,149,2025-06-08T12:07:30.744098
REST,medium,20,1.29,149,2025-06-08T12:07:30.745398
REST,medium,21,1.28,149,2025-06-08T12:07:30.746682
REST,medium,22,1.27,149,2025-06-08T12:07:30.747957
REST,medium,23,1.28,149,2025-06-08T12:07:30.749246
REST,medium,24,1.26,149,2025-06-08T12:07:30.750514
REST,medium,25,1.31,149,2025-06-08T12:07:30.751831
REST,medium,26,1.3,149,2025-06-08T12:07:30.753140
REST,medium,27,1.25,149,2025-06-08T12:07:30.754400
REST,medium,28,1.28,149,2025-06-08T12:07:30.755692
